Country,Indicator,Value,Rank,Country_with_rank
North Macedonia,"Foreign direct investment, net",1.2,91,91. North Macedonia
Zambia,"Foreign direct investment, net",1.2,92,92. Zambia
Gabon,"Foreign direct investment, net",1.1,93,93. Gabon
Myanmar,"Foreign direct investment, net",1.1,94,94. Myanmar
Nigeria,"Foreign direct investment, net",1.1,95,95. Nigeria
Bosnia and Herzegovina,"Foreign direct investment, net",1,96,96. Bosnia and Herzegovina
Chad,"Foreign direct investment, net",1,97,97. Chad
Lao PDR,"Foreign direct investment, net",1,98,98. Lao PDR
Cameroon,"Foreign direct investment, net",0.9,99,99. Cameroon
El Salvador,"Foreign direct investment, net",0.9,100,100. El Salvador
Kosovo,"Foreign direct investment, net",0.9,101,101. Kosovo
Maldives,"Foreign direct investment, net",0.8,102,102. Maldives
Rwanda,"Foreign direct investment, net",0.8,103,103. Rwanda
"Somalia, Fed. Rep.","Foreign direct investment, net",0.8,104,"104. Somalia, Fed. Rep."
Sri Lanka,"Foreign direct investment, net",0.8,105,105. Sri Lanka
Tunisia,"Foreign direct investment, net",0.8,106,106. Tunisia
Kyrgyz Republic,"Foreign direct investment, net",0.7,107,107. Kyrgyz Republic
Liberia,"Foreign direct investment, net",0.7,108,108. Liberia
Mali,"Foreign direct investment, net",0.7,109,109. Mali
Mauritius,"Foreign direct investment, net",0.7,110,110. Mauritius
New Caledonia,"Foreign direct investment, net",0.7,111,111. New Caledonia
"Congo, Rep.","Foreign direct investment, net",0.6,112,"112. Congo, Rep."
Kuwait,"Foreign direct investment, net",0.6,113,113. Kuwait
Montenegro,"Foreign direct investment, net",0.6,114,114. Montenegro
Zimbabwe,"Foreign direct investment, net",0.6,115,115. Zimbabwe
Benin,"Foreign direct investment, net",0.5,116,116. Benin
Botswana,"Foreign direct investment, net",0.5,117,117. Botswana
Kenya,"Foreign direct investment, net",0.5,118,118. Kenya
Niger,"Foreign direct investment, net",0.5,119,119. Niger
Qatar,"Foreign direct investment, net",0.5,120,120. Qatar
Bolivia,"Foreign direct investment, net",0.4,121,121. Bolivia
Madagascar,"Foreign direct investment, net",0.4,122,122. Madagascar
Paraguay,"Foreign direct investment, net",0.4,123,123. Paraguay
Andorra,"Foreign direct investment, net",0.3,124,124. Andorra
Antigua and Barbuda,"Foreign direct investment, net",0.3,125,125. Antigua and Barbuda
Barbados,"Foreign direct investment, net",0.3,126,126. Barbados
Ecuador,"Foreign direct investment, net",0.3,127,127. Ecuador
Jamaica,"Foreign direct investment, net",0.3,128,128. Jamaica
Moldova,"Foreign direct investment, net",0.3,129,129. Moldova
Seychelles,"Foreign direct investment, net",0.3,130,130. Seychelles
Sierra Leone,"Foreign direct investment, net",0.3,131,131. Sierra Leone
Tajikistan,"Foreign direct investment, net",0.3,132,132. Tajikistan
Azerbaijan,"Foreign direct investment, net",0.2,133,133. Azerbaijan
"Bahamas, The","Foreign direct investment, net",0.2,134,"134. Bahamas, The"
Curacao,"Foreign direct investment, net",0.2,135,135. Curacao
Equatorial Guinea,"Foreign direct investment, net",0.2,136,136. Equatorial Guinea
Fiji,"Foreign direct investment, net",0.2,137,137. Fiji
"Gambia, The","Foreign direct investment, net",0.2,138,"138. Gambia, The"
Grenada,"Foreign direct investment, net",0.2,139,139. Grenada
Malawi,"Foreign direct investment, net",0.2,140,140. Malawi
Nepal,"Foreign direct investment, net",0.2,141,141. Nepal
St. Lucia,"Foreign direct investment, net",0.2,142,142. St. Lucia
Timor-Leste,"Foreign direct investment, net",0.2,143,143. Timor-Leste
West Bank and Gaza,"Foreign direct investment, net",0.2,144,144. West Bank and Gaza
Armenia,"Foreign direct investment, net",0.1,145,145. Armenia
Aruba,"Foreign direct investment, net",0.1,146,146. Aruba
Belize,"Foreign direct investment, net",0.1,147,147. Belize
Bermuda,"Foreign direct investment, net",0.1,148,148. Bermuda
Burkina Faso,"Foreign direct investment, net",0.1,149,149. Burkina Faso
Cabo Verde,"Foreign direct investment, net",0.1,150,150. Cabo Verde
Djibouti,"Foreign direct investment, net",0.1,151,151. Djibouti
Eswatini,"Foreign direct investment, net",0.1,152,152. Eswatini
Palau,"Foreign direct investment, net",0.1,153,153. Palau
South Sudan,"Foreign direct investment, net",0.1,154,154. South Sudan
St. Vincent and the Grenadines,"Foreign direct investment, net",0.1,155,155. St. Vincent and the Grenadines
Togo,"Foreign direct investment, net",0.1,156,156. Togo
Bhutan,"Foreign direct investment, net",0,157,157. Bhutan
Brunei Darussalam,"Foreign direct investment, net",0,158,158. Brunei Darussalam
Burundi,"Foreign direct investment, net",0,159,159. Burundi
Central African Republic,"Foreign direct investment, net",0,160,160. Central African Republic
Comoros,"Foreign direct investment, net",0,161,161. Comoros
Dominica,"Foreign direct investment, net",0,162,162. Dominica
Eritrea,"Foreign direct investment, net",0,163,163. Eritrea
French Polynesia,"Foreign direct investment, net",0,164,164. French Polynesia
Guinea-Bissau,"Foreign direct investment, net",0,165,165. Guinea-Bissau
Haiti,"Foreign direct investment, net",0,166,166. Haiti
Kiribati,"Foreign direct investment, net",0,167,167. Kiribati
Lesotho,"Foreign direct investment, net",0,168,168. Lesotho
Marshall Islands,"Foreign direct investment, net",0,169,169. Marshall Islands
Nauru,"Foreign direct investment, net",0,170,170. Nauru
Samoa,"Foreign direct investment, net",0,171,171. Samoa
Sao Tome and Principe,"Foreign direct investment, net",0,172,172. Sao Tome and Principe
Sint Maarten (Dutch part),"Foreign direct investment, net",0,173,173. Sint Maarten (Dutch part)
Solomon Islands,"Foreign direct investment, net",0,174,174. Solomon Islands
St. Kitts and Nevis,"Foreign direct investment, net",0,175,175. St. Kitts and Nevis
Suriname,"Foreign direct investment, net",0,176,176. Suriname
Tonga,"Foreign direct investment, net",0,177,177. Tonga
Turks and Caicos Islands,"Foreign direct investment, net",0,178,178. Turks and Caicos Islands
Tuvalu,"Foreign direct investment, net",0,179,179. Tuvalu
Vanuatu,"Foreign direct investment, net",0,180,180. Vanuatu
Papua New Guinea,"Foreign direct investment, net",-0.2,181,181. Papua New Guinea
Kazakhstan,"Foreign direct investment, net",-0.7,182,182. Kazakhstan
Trinidad and Tobago,"Foreign direct investment, net",-1,183,183. Trinidad and Tobago
Angola,"Foreign direct investment, net",-1.1,184,184. Angola
Uruguay,"Foreign direct investment, net",-2.5,185,185. Uruguay
Estonia,"Foreign direct investment, net",-3.5,186,186. Estonia
Iraq,"Foreign direct investment, net",-7.5,187,187. Iraq
Russian Federation,"Foreign direct investment, net",-8.1,188,188. Russian Federation
Netherlands,"Foreign direct investment, net",-17.1,189,189. Netherlands
Cyprus,"Foreign direct investment, net",-18.6,190,190. Cyprus
Hungary,"Foreign direct investment, net",-34.9,191,191. Hungary
Belgium,"Foreign direct investment, net",-35.6,192,192. Belgium
Ireland,"Foreign direct investment, net",-38.9,193,193. Ireland
Switzerland,"Foreign direct investment, net",-112.1,194,194. Switzerland
Suriname,Forest area share,94.4,1,1. Suriname
"Micronesia, Fed. Sts.",Forest area share,92.2,2,"2. Micronesia, Fed. Sts."
Gabon,Forest area share,91.2,3,3. Gabon
Palau,Forest area share,90.5,4,4. Palau
Solomon Islands,Forest area share,90.1,5,5. Solomon Islands
Guyana,Forest area share,87.1,6,6. Guyana
Equatorial Guinea,Forest area share,86.4,7,7. Equatorial Guinea
American Samoa,Forest area share,85.2,8,8. American Samoa
Papua New Guinea,Forest area share,79,9,9. Papua New Guinea
Liberia,Forest area share,78.1,10,10. Liberia
Finland,Forest area share,73.7,11,11. Finland
Seychelles,Forest area share,73.3,12,12. Seychelles
St. Vincent and the Grenadines,Forest area share,73.2,13,13. St. Vincent and the Grenadines
Brunei Darussalam,Forest area share,72.1,14,14. Brunei Darussalam
Bhutan,Forest area share,71.6,15,15. Bhutan
Lao PDR,Forest area share,71.5,16,16. Lao PDR
Guinea-Bissau,Forest area share,69.5,17,17. Guinea-Bissau
Sweden,Forest area share,68.7,18,18. Sweden
Japan,Forest area share,68.4,19,19. Japan
"Congo, Rep.",Forest area share,64.1,20,"20. Congo, Rep."
"Korea, Rep.",Forest area share,64.1,21,"21. Korea, Rep."
Dominica,Forest area share,63.8,22,22. Dominica
Fiji,Forest area share,63.5,23,23. Fiji
Timor-Leste,Forest area share,61.7,24,24. Timor-Leste
Montenegro,Forest area share,61.5,25,25. Montenegro
Slovenia,Forest area share,61.2,26,26. Slovenia
Costa Rica,Forest area share,60.4,27,27. Costa Rica
Zambia,Forest area share,59.5,28,28. Zambia
Brazil,Forest area share,59,29,29. Brazil
Virgin Islands (U.S.),Forest area share,58.2,30,30. Virgin Islands (U.S.)
Malaysia,Forest area share,57.7,31,31. Malaysia
Samoa,Forest area share,57.6,32,32. Samoa
Estonia,Forest area share,57.1,33,33. Estonia
Honduras,Forest area share,56.3,34,34. Honduras
Panama,Forest area share,56.3,35,35. Panama
Jamaica,Forest area share,56.2,36,36. Jamaica
Peru,Forest area share,56.1,37,37. Peru
Puerto Rico (US),Forest area share,56.1,38,38. Puerto Rico (US)
Latvia,Forest area share,55,39,39. Latvia
Belize,Forest area share,54.5,40,40. Belize
"Congo, Dem. Rep.",Forest area share,54.2,41,"41. Congo, Dem. Rep."
Northern Mariana Islands,Forest area share,53,42,42. Northern Mariana Islands
Colombia,Forest area share,52.8,43,43. Colombia
Cayman Islands,Forest area share,52.5,44,44. Cayman Islands
Marshall Islands,Forest area share,52.2,45,45. Marshall Islands
"Venezuela, RB",Forest area share,52.2,46,"46. Venezuela, RB"
Angola,Forest area share,52.1,47,47. Angola
Grenada,Forest area share,52.1,48,48. Grenada
Sao Tome and Principe,Forest area share,52.1,49,49. Sao Tome and Principe
Guam,Forest area share,51.9,50,50. Guam
"Bahamas, The",Forest area share,50.9,51,"51. Bahamas, The"
Tanzania,Forest area share,50.1,52,52. Tanzania
Russian Federation,Forest area share,49.8,53,53. Russian Federation
"Korea, Dem. People's Rep.",Forest area share,49.6,54,"54. Korea, Dem. People's Rep."
Ecuador,Forest area share,49.5,55,55. Ecuador
Indonesia,Forest area share,47.7,56,56. Indonesia
Viet Nam,Forest area share,47.4,57,57. Viet Nam
Austria,Forest area share,47.2,58,58. Austria
Bolivia,Forest area share,46.3,59,59. Bolivia
Mozambique,Forest area share,45.8,60,60. Mozambique
New Caledonia,Forest area share,45.8,61,61. New Caledonia
Dominican Republic,Forest area share,45,62,62. Dominican Republic
Zimbabwe,Forest area share,44.7,63,63. Zimbabwe
Trinidad and Tobago,Forest area share,44.2,64,64. Trinidad and Tobago
Belarus,Forest area share,43.4,65,65. Belarus
Cambodia,Forest area share,43.1,66,66. Cambodia
French Polynesia,Forest area share,43.1,67,67. French Polynesia
Bosnia and Herzegovina,Forest area share,42.7,68,68. Bosnia and Herzegovina
Cameroon,Forest area share,42.7,69,69. Cameroon
Myanmar,Forest area share,42.4,70,70. Myanmar
St. Kitts and Nevis,Forest area share,42.3,71,71. St. Kitts and Nevis
Liechtenstein,Forest area share,41.9,72,72. Liechtenstein
Nepal,Forest area share,41.6,73,73. Nepal
Senegal,Forest area share,41.3,74,74. Senegal
Georgia,Forest area share,40.6,75,75. Georgia
Slovak Republic,Forest area share,40.1,76,76. Slovak Republic
North Macedonia,Forest area share,39.7,77,77. North Macedonia
Canada,Forest area share,39.5,78,78. Canada
Thailand,Forest area share,38.7,79,79. Thailand
Paraguay,Forest area share,38.5,80,80. Paraguay
New Zealand,Forest area share,37.8,81,81. New Zealand
Spain,Forest area share,37.2,82,82. Spain
Vanuatu,Forest area share,36.3,83,83. Vanuatu
Bulgaria,Forest area share,36.2,84,84. Bulgaria
Portugal,Forest area share,36.2,85,85. Portugal
Central African Republic,Forest area share,35.7,86,86. Central African Republic
Ghana,Forest area share,35.2,87,87. Ghana
Lithuania,Forest area share,35.2,88,88. Lithuania
Croatia,Forest area share,34.8,89,89. Croatia
Czechia,Forest area share,34.8,90,90. Czechia
Luxembourg,Forest area share,34.5,91,91. Luxembourg
Sierra Leone,Forest area share,34.3,92,92. Sierra Leone
Andorra,Forest area share,34,93,93. Andorra
Sri Lanka,Forest area share,34,94,94. Sri Lanka
St. Lucia,Forest area share,34,95,95. St. Lucia
United States,Forest area share,33.9,96,96. United States
Mexico,Forest area share,33.6,97,97. Mexico
Norway,Forest area share,33.5,98,98. Norway
Tuvalu,Forest area share,33.3,99,99. Tuvalu
Italy,Forest area share,32.9,100,100. Italy
Germany,Forest area share,32.7,101,101. Germany
Guatemala,Forest area share,32.6,102,102. Guatemala
France,Forest area share,32.5,103,103. France
Serbia,Forest area share,32.4,104,104. Serbia
Switzerland,Forest area share,32.4,105,105. Switzerland
Cuba,Forest area share,31.2,106,106. Cuba
Poland,Forest area share,31.1,107,107. Poland
Greece,Forest area share,30.3,108,108. Greece
Romania,Forest area share,30.1,109,109. Romania
Turkiye,Forest area share,29.5,110,110. Turkiye
Eswatini,Forest area share,29.1,111,111. Eswatini
Albania,Forest area share,28.8,112,112. Albania
El Salvador,Forest area share,27.5,113,113. El Salvador
Benin,Forest area share,26.5,114,114. Benin
Botswana,Forest area share,26.3,115,115. Botswana
Nicaragua,Forest area share,25.8,116,116. Nicaragua
Chile,Forest area share,25,117,117. Chile
St. Martin (French part),Forest area share,24.8,118,118. St. Martin (French part)
Guinea,Forest area share,24.7,119,119. Guinea
India,Forest area share,24.5,120,120. India
Philippines,Forest area share,24.5,121,121. Philippines
China,Forest area share,24,122,122. China
Nigeria,Forest area share,23.2,123,123. Nigeria
Belgium,Forest area share,22.6,124,124. Belgium
Hungary,Forest area share,22.4,125,125. Hungary
Malawi,Forest area share,22.4,126,126. Malawi
"Gambia, The",Forest area share,22.3,127,"127. Gambia, The"
Burkina Faso,Forest area share,22.2,128,128. Burkina Faso
Togo,Forest area share,22.1,129,129. Togo
Madagascar,Forest area share,21.3,130,130. Madagascar
Singapore,Forest area share,20.9,131,131. Singapore
Mauritius,Forest area share,19.5,132,132. Mauritius
Cyprus,Forest area share,18.7,133,133. Cyprus
Bermuda,Forest area share,18.5,134,134. Bermuda
Antigua and Barbuda,Forest area share,18,135,135. Antigua and Barbuda
Australia,Forest area share,17.4,136,136. Australia
Comoros,Forest area share,17,137,137. Comoros
Ukraine,Forest area share,16.8,138,138. Ukraine
San Marino,Forest area share,16.7,139,139. San Marino
Denmark,Forest area share,15.8,140,140. Denmark
Ethiopia,Forest area share,14.9,141,141. Ethiopia
Barbados,Forest area share,14.7,142,142. Barbados
Bangladesh,Forest area share,14.5,143,143. Bangladesh
Lebanon,Forest area share,14.2,144,144. Lebanon
Azerbaijan,Forest area share,14.1,145,145. Azerbaijan
South Africa,Forest area share,14,146,146. South Africa
United Kingdom,Forest area share,13.3,147,147. United Kingdom
Morocco,Forest area share,12.9,148,148. Morocco
Tonga,Forest area share,12.4,149,149. Tonga
Haiti,Forest area share,12.3,150,150. Haiti
Uruguay,Forest area share,12,151,151. Uruguay
Moldova,Forest area share,11.7,152,152. Moldova
Armenia,Forest area share,11.6,153,153. Armenia
Cabo Verde,Forest area share,11.6,154,154. Cabo Verde
Ireland,Forest area share,11.5,155,155. Ireland
Rwanda,Forest area share,11.3,156,156. Rwanda
South Sudan,Forest area share,11.3,157,157. South Sudan
Netherlands,Forest area share,11.1,158,158. Netherlands
Turks and Caicos Islands,Forest area share,11.1,159,159. Turks and Caicos Islands
Uganda,Forest area share,11,160,160. Uganda
Burundi,Forest area share,10.9,161,161. Burundi
Mali,Forest area share,10.9,162,162. Mali
Sint Maarten (Dutch part),Forest area share,10.9,163,163. Sint Maarten (Dutch part)
Argentina,Forest area share,10.3,164,164. Argentina
Sudan,Forest area share,9.6,165,165. Sudan
"Somalia, Fed. Rep.",Forest area share,9.2,166,"166. Somalia, Fed. Rep."
Mongolia,Forest area share,9.1,167,167. Mongolia
Turkmenistan,Forest area share,8.8,168,168. Turkmenistan
Eritrea,Forest area share,8.6,169,169. Eritrea
Uzbekistan,Forest area share,8.5,170,170. Uzbekistan
Cote d'Ivoire,Forest area share,7.9,171,171. Cote d'Ivoire
Namibia,Forest area share,7.8,172,172. Namibia
Kyrgyz Republic,Forest area share,7.1,173,173. Kyrgyz Republic
"Iran, Islamic Rep.",Forest area share,6.6,174,"174. Iran, Islamic Rep."
Israel,Forest area share,6.5,175,175. Israel
Kenya,Forest area share,6.2,176,176. Kenya
Isle of Man,Forest area share,6.1,177,177. Isle of Man
Pakistan,Forest area share,4.7,178,178. Pakistan
Tunisia,Forest area share,4.6,179,179. Tunisia
United Arab Emirates,Forest area share,4.5,180,180. United Arab Emirates
Chad,Forest area share,3.2,181,181. Chad
Tajikistan,Forest area share,3.1,182,182. Tajikistan
Maldives,Forest area share,2.8,183,183. Maldives
Syrian Arab Republic,Forest area share,2.8,184,184. Syrian Arab Republic
Aruba,Forest area share,2.3,185,185. Aruba
Afghanistan,Forest area share,1.9,186,186. Afghanistan
Iraq,Forest area share,1.9,187,187. Iraq
West Bank and Gaza,Forest area share,1.7,188,188. West Bank and Gaza
Kiribati,Forest area share,1.5,189,189. Kiribati
Malta,Forest area share,1.4,190,190. Malta
Kazakhstan,Forest area share,1.3,191,191. Kazakhstan
Jordan,Forest area share,1.1,192,192. Jordan
Lesotho,Forest area share,1.1,193,193. Lesotho
Bahrain,Forest area share,1,194,194. Bahrain
"Yemen, Rep.",Forest area share,1,195,"195. Yemen, Rep."
Algeria,Forest area share,0.8,196,196. Algeria
Niger,Forest area share,0.8,197,197. Niger
Iceland,Forest area share,0.5,198,198. Iceland
Saudi Arabia,Forest area share,0.5,199,199. Saudi Arabia
Kuwait,Forest area share,0.4,200,200. Kuwait
Djibouti,Forest area share,0.3,201,201. Djibouti
Mauritania,Forest area share,0.3,202,202. Mauritania
Curacao,Forest area share,0.2,203,203. Curacao
Faroe Islands,Forest area share,0.1,204,204. Faroe Islands
Libya,Forest area share,0.1,205,205. Libya
"Egypt, Arab Rep.",Forest area share,0,206,"206. Egypt, Arab Rep."
Greenland,Forest area share,0,207,207. Greenland
Monaco,Forest area share,0,208,208. Monaco
Nauru,Forest area share,0,209,209. Nauru
Oman,Forest area share,0,210,210. Oman
Qatar,Forest area share,0,211,211. Qatar
United States,GDP,29184.9,1,1. United States
China,GDP,18743.8,2,2. China
Germany,GDP,4659.9,3,3. Germany
Japan,GDP,4026.2,4,4. Japan
India,GDP,3912.7,5,5. India
United Kingdom,GDP,3643.8,6,6. United Kingdom
France,GDP,3162.1,7,7. France
Italy,GDP,2372.8,8,8. Italy
Canada,GDP,2241.3,9,9. Canada
Brazil,GDP,2179.4,10,10. Brazil
Russian Federation,GDP,2173.8,11,11. Russian Federation
Mexico,GDP,1852.7,12,12. Mexico
Australia,GDP,1752.2,13,13. Australia
Spain,GDP,1722.7,14,14. Spain
Indonesia,GDP,1396.3,15,15. Indonesia
Turkiye,GDP,1323.3,16,16. Turkiye
Saudi Arabia,GDP,1237.5,17,17. Saudi Arabia
Netherlands,GDP,1227.5,18,18. Netherlands
Switzerland,GDP,936.6,19,19. Switzerland
Poland,GDP,914.7,20,20. Poland
Belgium,GDP,664.6,21,21. Belgium
Argentina,GDP,633.3,22,22. Argentina
Sweden,GDP,610.1,23,23. Sweden
Ireland,GDP,577.4,24,24. Ireland
Singapore,GDP,547.4,25,25. Singapore
Israel,GDP,540.4,26,26. Israel
United Arab Emirates,GDP,537.1,27,27. United Arab Emirates
Thailand,GDP,526.4,28,28. Thailand
Austria,GDP,521.6,29,29. Austria
Norway,GDP,483.7,30,30. Norway
Viet Nam,GDP,476.4,31,31. Viet Nam
Philippines,GDP,461.6,32,32. Philippines
Bangladesh,GDP,450.1,33,33. Bangladesh
"Iran, Islamic Rep.",GDP,436.9,34,"34. Iran, Islamic Rep."
Denmark,GDP,429.5,35,35. Denmark
Malaysia,GDP,422,36,36. Malaysia
Colombia,GDP,418.5,37,37. Colombia
"Hong Kong SAR, China",GDP,407.1,38,"38. Hong Kong SAR, China"
South Africa,GDP,400.3,39,39. South Africa
"Egypt, Arab Rep.",GDP,389.1,40,"40. Egypt, Arab Rep."
Romania,GDP,382.8,41,41. Romania
Pakistan,GDP,373.1,42,42. Pakistan
Czechia,GDP,345,43,43. Czechia
Chile,GDP,330.3,44,44. Chile
Portugal,GDP,308.7,45,45. Portugal
Finland,GDP,299.8,46,46. Finland
Peru,GDP,289.2,47,47. Peru
Kazakhstan,GDP,288.4,48,48. Kazakhstan
Iraq,GDP,279.6,49,49. Iraq
Algeria,GDP,263.6,50,50. Algeria
New Zealand,GDP,260.2,51,51. New Zealand
Greece,GDP,257.1,52,52. Greece
Hungary,GDP,222.9,53,53. Hungary
Qatar,GDP,218,54,54. Qatar
Ukraine,GDP,190.7,55,55. Ukraine
Nigeria,GDP,187.8,56,56. Nigeria
Kuwait,GDP,160.2,57,57. Kuwait
Morocco,GDP,154.4,58,58. Morocco
Slovak Republic,GDP,141.8,59,59. Slovak Republic
Puerto Rico (US),GDP,125.8,60,60. Puerto Rico (US)
Ecuador,GDP,124.7,61,61. Ecuador
Kenya,GDP,124.5,62,62. Kenya
Dominican Republic,GDP,124.3,63,63. Dominican Republic
Uzbekistan,GDP,115,64,64. Uzbekistan
Guatemala,GDP,113.2,65,65. Guatemala
Bulgaria,GDP,112.2,66,66. Bulgaria
Oman,GDP,106.9,67,67. Oman
Sri Lanka,GDP,99,68,68. Sri Lanka
Costa Rica,GDP,95.4,69,69. Costa Rica
Luxembourg,GDP,93.2,70,70. Luxembourg
Croatia,GDP,92.5,71,71. Croatia
Serbia,GDP,89.1,72,72. Serbia
Cote d'Ivoire,GDP,86.5,73,73. Cote d'Ivoire
Panama,GDP,86.3,74,74. Panama
Lithuania,GDP,84.9,75,75. Lithuania
Ghana,GDP,82.8,76,76. Ghana
Uruguay,GDP,81,77,77. Uruguay
Angola,GDP,80.4,78,78. Angola
Tanzania,GDP,78.8,79,79. Tanzania
Belarus,GDP,76,80,80. Belarus
Azerbaijan,GDP,74.3,81,81. Azerbaijan
Myanmar,GDP,74.1,82,82. Myanmar
Slovenia,GDP,72.5,83,83. Slovenia
"Congo, Dem. Rep.",GDP,70.7,84,"84. Congo, Dem. Rep."
Turkmenistan,GDP,64.2,85,85. Turkmenistan
Uganda,GDP,53.7,86,86. Uganda
Jordan,GDP,53.4,87,87. Jordan
Tunisia,GDP,53.4,88,88. Tunisia
Cameroon,GDP,51.3,89,89. Cameroon
"Macao SAR, China",GDP,50.2,90,"90. Macao SAR, China"
Sudan,GDP,49.9,91,91. Sudan
Bolivia,GDP,49.7,92,92. Bolivia
Bahrain,GDP,47.7,93,93. Bahrain
Libya,GDP,46.6,94,94. Libya
Cambodia,GDP,46.4,95,95. Cambodia
Paraguay,GDP,44.5,96,96. Paraguay
Zimbabwe,GDP,44.2,97,97. Zimbabwe
Latvia,GDP,43.5,98,98. Latvia
Nepal,GDP,42.9,99,99. Nepal
Estonia,GDP,42.8,100,100. Estonia
Honduras,GDP,37.1,101,101. Honduras
Cyprus,GDP,36.3,102,102. Cyprus
El Salvador,GDP,35.4,103,103. El Salvador
Georgia,GDP,33.8,104,104. Georgia
Iceland,GDP,33.5,105,105. Iceland
Papua New Guinea,GDP,32.5,106,106. Papua New Guinea
Senegal,GDP,32.3,107,107. Senegal
Bosnia and Herzegovina,GDP,28.3,108,108. Bosnia and Herzegovina
Albania,GDP,27.2,109,109. Albania
Mali,GDP,26.6,110,110. Mali
Trinidad and Tobago,GDP,26.4,111,111. Trinidad and Tobago
Zambia,GDP,26.3,112,112. Zambia
Armenia,GDP,25.8,113,113. Armenia
Guinea,GDP,25.3,114,114. Guinea
Haiti,GDP,25.2,115,115. Haiti
Guyana,GDP,24.8,116,116. Guyana
Malta,GDP,24.3,117,117. Malta
Mongolia,GDP,23.6,118,118. Mongolia
Burkina Faso,GDP,23.3,119,119. Burkina Faso
Mozambique,GDP,22.4,120,120. Mozambique
Benin,GDP,21.5,121,121. Benin
Gabon,GDP,20.9,122,122. Gabon
Chad,GDP,20.6,123,123. Chad
Jamaica,GDP,19.9,124,124. Jamaica
Nicaragua,GDP,19.7,125,125. Nicaragua
Niger,GDP,19.5,126,126. Niger
Botswana,GDP,19.4,127,127. Botswana
Moldova,GDP,18.2,128,128. Moldova
Kyrgyz Republic,GDP,17.5,129,129. Kyrgyz Republic
Madagascar,GDP,17.4,130,130. Madagascar
North Macedonia,GDP,16.7,131,131. North Macedonia
Lao PDR,GDP,16.5,132,132. Lao PDR
"Bahamas, The",GDP,15.8,133,"133. Bahamas, The"
"Congo, Rep.",GDP,15.7,134,"134. Congo, Rep."
Brunei Darussalam,GDP,15.5,135,135. Brunei Darussalam
Mauritius,GDP,15,136,136. Mauritius
Rwanda,GDP,14.3,137,137. Rwanda
Tajikistan,GDP,14.2,138,138. Tajikistan
West Bank and Gaza,GDP,13.7,139,139. West Bank and Gaza
Namibia,GDP,13.4,140,140. Namibia
Equatorial Guinea,GDP,12.8,141,141. Equatorial Guinea
Somalia,GDP,12.1,142,142. Somalia
Kosovo,GDP,11.1,143,143. Kosovo
Malawi,GDP,11,144,144. Malawi
Mauritania,GDP,10.8,145,145. Mauritania
Togo,GDP,9.9,146,146. Togo
Bermuda,GDP,9,147,147. Bermuda
Montenegro,GDP,8.1,148,148. Montenegro
Sierra Leone,GDP,7.5,149,149. Sierra Leone
Barbados,GDP,7.2,150,150. Barbados
Maldives,GDP,7,151,151. Maldives
Fiji,GDP,5.8,152,152. Fiji
Eswatini,GDP,4.9,153,153. Eswatini
Liberia,GDP,4.8,154,154. Liberia
Suriname,GDP,4.7,155,155. Suriname
Djibouti,GDP,4.1,156,156. Djibouti
Andorra,GDP,4,157,157. Andorra
Belize,GDP,3.5,158,158. Belize
Cabo Verde,GDP,2.8,159,159. Cabo Verde
Central African Republic,GDP,2.8,160,160. Central African Republic
"Gambia, The",GDP,2.5,161,"161. Gambia, The"
St. Lucia,GDP,2.5,162,162. St. Lucia
Lesotho,GDP,2.3,163,163. Lesotho
Antigua and Barbuda,GDP,2.2,164,164. Antigua and Barbuda
Burundi,GDP,2.2,165,165. Burundi
Seychelles,GDP,2.2,166,166. Seychelles
Guinea-Bissau,GDP,2.1,167,167. Guinea-Bissau
Timor-Leste,GDP,1.9,168,168. Timor-Leste
Solomon Islands,GDP,1.8,169,169. Solomon Islands
Sint Maarten (Dutch part),GDP,1.7,170,170. Sint Maarten (Dutch part)
Turks and Caicos Islands,GDP,1.7,171,171. Turks and Caicos Islands
Comoros,GDP,1.5,172,172. Comoros
Grenada,GDP,1.4,173,173. Grenada
St. Vincent and the Grenadines,GDP,1.2,174,174. St. Vincent and the Grenadines
Vanuatu,GDP,1.2,175,175. Vanuatu
Samoa,GDP,1.1,176,176. Samoa
St. Kitts and Nevis,GDP,1.1,177,177. St. Kitts and Nevis
Sao Tome and Principe,GDP,0.8,178,178. Sao Tome and Principe
Dominica,GDP,0.7,179,179. Dominica
"Micronesia, Fed. Sts.",GDP,0.5,180,"180. Micronesia, Fed. Sts."
Kiribati,GDP,0.3,181,181. Kiribati
Marshall Islands,GDP,0.3,182,182. Marshall Islands
Nauru,GDP,0.2,183,183. Nauru
Bermuda,GDP per capita,138.9,1,1. Bermuda
Luxembourg,GDP per capita,137.5,2,2. Luxembourg
Ireland,GDP per capita,107.3,3,3. Ireland
Switzerland,GDP per capita,103.7,4,4. Switzerland
Singapore,GDP per capita,90.7,5,5. Singapore
Norway,GDP per capita,86.8,6,6. Norway
United States,GDP per capita,85.8,7,7. United States
Iceland,GDP per capita,82.7,8,8. Iceland
Qatar,GDP per capita,76.3,9,9. Qatar
"Macao SAR, China",GDP per capita,73,10,"10. Macao SAR, China"
Denmark,GDP per capita,71.9,11,11. Denmark
Netherlands,GDP per capita,68.2,12,12. Netherlands
Australia,GDP per capita,64.4,13,13. Australia
Sweden,GDP per capita,57.7,14,14. Sweden
